Filter 577nm,Voltage V,Current (nA) 1,Current (nA) 2,Current (nA) 3,Current (nA) 4,,Background current:
,0,4.10,4.06,,,,0.63
,1,3.69,3.7,,,,0.53
,2,2.96,3.03,,,,0.40
,3,1.91,1.96,,,,0.24
,4,0.86,0.79,,,,0.11
,5,0.19,0.13,,,,0.027
,5.75,0.016,0.0080,,,,0.0048
,6,0.0045,0.0017,,,,0.0022
,6.19,,0,,,,
,6.33,0,,,,,0.0007
,6.5,-0.0008,-0.001,,,,0.0004
,6.75,-0.0014,-0.0011,,,,0.0002
,7,-0.0015,-0.0012,,,,0.0002
,7.25,-0.0016,-0.0013,,,,0.0002
,7.5,-0.0016,-0.0013,,,,0.0003
,7.75,-0.0016,-0.0013,,,,0.0002
,8,-0.0016,-0.0013,,,,
,8.5,-0.0016,-0.0013,,,,
,,,,,,,
,,,7.25V,,,,